distance,dB,speed,,station,code,station distance
2440,42.9,35.6,,,,
2450,45.1,36.4,,,,
2460,47.5,37.1,,,,
2470,48.7,37.9,,,,
2480,47.6,38.3,,,,
2490,46.1,38.8,,,,
2500,45.4,39.2,,,,
2510,46.1,39,,,,
2520,46.6,38.8,,,,
2530,45.8,38.3,,,,
2540,44.6,38.1,,,,
2550,43,38.3,,,,
2560,42,38.7,,,,
2570,42.9,38.8,,,,
2580,43,38.7,,,,
2590,44.7,38.7,,,,
2600,47.1,38.5,,,,
2610,48.8,38.7,,,,
2620,50.2,38.8,,,,
2630,51.6,39.4,,,,
2640,53.3,39.4,,,,
2650,54.6,39.4,,,,
2660,55.3,39.2,,,,
2670,55.8,39,,,,
2680,56.5,38.8,,,,
2690,57.2,38.8,,,,
2700,57.9,38.7,,,,
2710,58,38.5,,,,
2720,58,38.5,,,,
2730,57.7,38.7,,,,
2740,57.2,39.2,,,,
2750,56,39.4,,,,
2760,55.5,39.6,,,,
2770,55.3,39.6,,,,
2780,55.3,39.6,,,,
2790,55,39.8,,,,
2800,52.9,40,,,,
2810,49.9,40.2,,,,
2820,47.1,40.3,,,,
2830,45.1,40.5,,,,
2840,44.4,40.9,,,,
2850,44.6,41.1,,,,
2860,44.6,41.3,,,,
2870,44.4,41.7,,,,
2880,45.3,41.7,,,,
2890,45.8,41.5,,,,
2900,45.3,41.1,,,,
2910,44.1,40.3,,,,
2920,43.4,39.6,,,,
2930,43.4,38.8,,,,
2940,43.4,38.1,,,,
2950,43,37.5,,,,
2960,42.7,37.7,,,,
2970,41.8,39,,,,
2980,41.2,41.3,,,,
2990,39.8,44.1,,,,
3000,38.4,47.3,,,,
3010,37.1,49.8,,,,
3020,37.2,52.4,,,,
3030,38.9,54.8,,,,
3040,41.3,56.7,,,,
3050,43.9,58.4,,,,
3060,45.3,59.5,,,,
3070,46.6,59.9,,,,
3080,49.5,60.7,,,,
3090,53.6,62.2,,,,
3100,57.5,62.9,,,,
3110,60.1,63.7,,,,
3120,60.8,64.4,,,,
3130,60.4,64.8,,,,
3140,59.6,65.4,,,,
3150,58.4,65.9,,,,
3160,57.4,66.3,,,,
3170,57,66.7,,,,
3180,58,67.1,,,,
3190,59.2,67.6,,,,
3200,59.8,68,,,,
3210,59.8,68.4,,,,
3220,59.8,68.8,,,,
3230,60.3,68.9,,,,
3240,61.6,68.9,,,,
3250,62.7,69.1,,,,
3260,63.5,69.1,,,,
3270,63.8,69.1,,,,
3280,63.7,68.9,,,,
3290,63.3,68.9,,,,
3300,62.5,68.9,,,,
3310,62.3,69.1,,,,
3320,62.3,69.5,,,,
3330,62.8,70.1,,,,
3340,63.5,70.8,,,,
3350,64.2,71.6,,,,
3360,64.5,72.3,,,,
3370,65,73.1,,,,
3380,64.9,73.8,,,,
3390,63.8,74.4,,,,
3400,62.5,74.8,,,,
3410,61.8,75.2,,,,
3420,61.1,75.5,,,,
3430,60.9,75.5,,,,
3440,61.3,75.5,,,,
3450,61.5,75.2,,,,
3460,61.8,75,,,,
3470,62.3,74.6,,,,
3480,62.7,74.2,,,,
3490,63.3,73.8,,,,
3500,64.9,73.5,,,,
3510,65.9,72.9,,,,
3520,66.1,72.3,,,,
3530,66.1,71.8,,,,
3540,65.7,71.2,,,,
3550,65.7,70.8,,,,
3560,65.9,70.6,,,,
3570,66.1,70.6,,,,
3580,66.4,70.8,,,,
3590,66.4,71,,,,
3600,66.2,71.2,,,,
3610,66.2,71.2,,,,
3620,66.4,71.2,,,,
3630,66.7,71,,,,
3640,66.7,70.8,,,,
3650,66.7,70.6,,,,
3660,66.4,70.3,,,,
3670,65.9,69.9,,,,
3680,65.7,69.5,,,,
3690,65.5,69.1,,,,
3700,65.2,68.8,,,,
3710,64.7,68.2,,,,
3720,64,67.4,,,,
3730,63.2,66.7,,,,
3740,62.3,65.9,,,,
3750,62.1,65.2,,,,
3760,62.5,64.2,,,,
3770,62.3,63.5,,,,
3780,62.1,62.6,,,,
3790,61.8,61.6,,,,
3800,60.9,60.3,,,,
3810,60.3,59.2,,,,
3820,59.8,57.8,,,,
3830,59.4,56.7,,,,
3840,58.6,56,,,,
3850,57.7,55.2,,,,
3860,57.2,54.8,,,,
3870,57.9,54.5,,,,
3880,60.1,54.5,,,,
3890,62.7,54.3,,,,
3900,64.2,54.3,,,,
3910,64.4,54.3,,,,
3920,63.3,54.3,,,,
3930,61.8,54.3,,,,
3940,60.1,54.1,,,,
3950,58.9,54.1,,,,
3960,57.5,53.9,,,,
3970,56,53.7,,,,
3980,54.8,52.8,,,,
3990,53.8,51.4,,,,
4000,53.1,49.8,,,,
4010,52.2,47.7,,,,
4020,51.9,45.4,,,,
4030,52.2,43.4,,,,
4040,52.6,41.1,,,,
4050,53.6,38.7,,,,
4060,54,36.2,,,,
4070,51.4,33.4,,,,
4080,46.8,30.4,,,,
4090,44.6,27.4,,,,
4100,45.1,23.8,,,,
4110,44.1,20,,,,
4120,39.1,16.6,,,,
4130,32.5,12.9,,,,
4140,27.3,0,,,,
4150,30.4,15.7,,,,
4160,25.5,14.6,,,,
4170,25.1,21.3,,,,
4180,27,27.2,,,,
4190,29.6,30.6,,,,
4200,34.5,34.1,,,,
4210,40.3,37.3,,,,
4220,44.2,40.3,,,,
4230,46.1,43.2,,,,
4240,45.9,45.8,,,,
4250,46.6,48.2,,,,
4260,47.1,50.9,,,,
4270,47.3,53.1,,,,
4280,47.5,55,,,,
4290,48,56.7,,,,
4300,48.5,57.8,,,,
4310,48.2,58.8,,,,
4320,48.7,59.5,,,,
4330,49.7,60.3,,,,
4340,51.9,60.9,,,,
4350,55.1,61.4,,,,
4360,58.4,62.2,,,,
4370,60.4,62.9,,,,
4380,60.9,63.7,,,,
4390,60.3,64.1,,,,
4400,59.2,64.8,,,,
4410,58.4,65.2,,,,
4420,58,65.8,,,,
4430,58,65.9,,,,
4440,58,66.3,,,,
4450,57.7,66.9,,,,
4460,57.4,67.3,,,,
4470,57,67.6,,,,
4480,56.7,68,,,,
4490,56.7,68.4,,,,
4500,57.2,68.4,,,,
4510,58.9,68.8,,,,
4520,60.3,68.9,,,,
4530,62,68.9,,,,
4540,62.1,69.1,,,,
4550,61.5,69.1,,,,
4560,62,69.3,,,,
4570,63.7,69.3,,,,
4580,64.7,69.5,,,,
4590,65.4,69.9,,,,
4600,65.4,70.5,,,,
4610,64.4,71.2,,,,
4620,63.8,72,,,,
4630,63.5,72.7,,,,
4640,63,73.1,,,,
4650,63,73.8,,,,
4660,63,74.6,,,,
4670,63.3,75.3,,,,
4680,64,75.7,,,,
4690,64.9,76.5,,,,
4700,65,77.2,,,,
4710,65.2,77.6,,,,
4720,64.9,78.4,,,,
4730,64.7,79.1,,,,
4740,64.7,79.5,,,,
4750,64.7,80.1,,,,
4760,64.7,80.6,,,,
4770,64.9,80.8,,,,
4780,65.4,81.2,,,,
4790,66.1,81.6,,,,
4800,66.7,81.9,,,,
4810,67.8,82.3,,,,
4820,68.6,82.7,,,,
4830,69,83.1,,,,
4840,68.6,83.4,,,,
4850,68.3,83.6,,,,
4860,67.6,83.6,,,,
4870,67.3,83.6,,,,
4880,66.7,83.4,,,,
4890,66.2,83.4,,,,
4900,65.9,83.4,,,,
4910,65.4,83.3,,,,
4920,65,83.1,,,,
4930,65.2,82.7,,,,
4940,65.7,82.3,,,,
4950,66.6,81.7,,,,
4960,67.6,81.2,,,,
4970,68.1,80.6,,,,
4980,68.3,79.9,,,,
4990,68.3,79.3,,,,
5000,67.9,78.5,,,,
5010,67.8,78,,,,
5020,67.4,77.2,,,,
5030,67.3,76.5,,,,
5040,66.9,75.7,,,,
5050,66.9,75,,,,
5060,67.8,74.2,,,,
5070,68.3,73.5,,,,
5080,68.4,72.5,,,,
5090,68.3,71.6,,,,
5100,68.6,70.6,,,,
5110,69.1,69.7,,,,
5120,70,69.1,,,,
5130,70.3,68.9,,,,
5140,69.8,68.8,,,,
5150,69.1,68.6,,,,
5160,68.1,68.6,,,,
5170,67.6,68.4,,,,
5180,66.9,68,,,,
5190,66.2,67.4,,,,
5200,64.9,66.7,,,,
5210,64.4,65.2,,,,
5220,63.8,63.5,,,,
5230,63.2,61.8,,,,
5240,62.5,59.9,,,,
5250,62,58.2,,,,
5260,62,56.3,,,,
5270,62.1,54.5,,,,
5280,62.5,52.4,,,,
5290,63.3,50.3,,,,
5300,63.3,48.2,,,,
5310,61.5,46,,,,
5320,58.6,43.9,,,,
5330,54.6,41.7,,,,
5340,50.5,39,,,,
5350,47.6,37,,,,
5360,46.1,34.5,,,,
5370,46.3,31.7,,,,
5380,46.6,29.1,,,,
5390,45.3,26.8,,,,
5400,43.7,23.8,,,,
5410,40.3,21,,,,
5420,35,18,,,,
5430,30.9,15.1,,,,
5440,25.5,10.8,,,,
5450,23.6,0,,,,
5460,24.8,17.6,,,,
5470,26.7,18.1,,,,
5480,28.5,23.2,,,,
5490,31.8,28.5,,,,
5500,37.1,32.1,,,,
5510,42.2,35.6,,,,
