distance,dB,speed,,station,code,station distance
3973.25,74.56,54.7,,,,
4003.472,76.82,54.5,,,,
4033.583,78.43,54.3,,,,
4063.583,78.32,54.1,,,,
4093.472,77.74,53.9,,,,
4123.306,76.27,53.7,,,,
4153.083,78.55,53.7,,,,
4182.806,80.12,53.5,,,,
4212.722,78.35,53.5,,,,
4243.833,78.76,54.2,,,,
4276.889,78.77,57.8,,,,
4311.417,80.66,61.2,,,,
4346.944,81.69,63.1,,,,
4383.361,81.77,64.8,,,,
4420.75,81.8,66.3,,,,
4458.972,82.67,68.3,,,,
4497.472,82.25,69.3,,,,
4535.833,83.2,69.3,,,,
4574.667,85.48,68.8,,,,
4615.167,83.6,71,,,,
4657.444,82.87,74.8,,,,
4700.917,84.14,77.4,,,,
4745.361,85.14,79.1,,,,
4790.667,83.89,80.9,,,,
4836.667,84.97,82.2,,,,
4883.25,85.67,83.4,,,,
4929.917,84.41,84.3,,,,
4975.722,83.38,83.7,,,,
5019.889,81.38,81.2,,,,
5062,83.02,77.8,,,,
5102.111,82.87,73.8,,,,
5141.139,77.3,70.6,,,,
5179.389,74.87,69.9,,,,
5215.639,76.69,67.8,,,,
5248.944,75.98,62.7,,,,
5279.222,73.24,57.2,,,,
5306.556,71.09,51.8,,,,
5331.25,71.75,46.6,,,,
5353.5,72.54,42.3,,,,
5373.194,70.7,37.8,,,,
5390.083,66.34,33.1,,,,
5404.056,64.93,27.7,,,,
5415.5,63.6,22.6,,,,
5425.194,62.55,18.6,,,,
5433.306,61.46,16.3,,,,
5439.583,61.02,12.9,,,,
5444.222,60.8,9.7,,,,
5447.361,60.97,7,,,,
5456,62.66,4.3,,,,
5456.528,71.56,1.9,,,,
5456.528,71.16,0,,,,
5456.528,67.07,0,,,,
5456.528,66.22,0,,,,
5456.528,69.6,0,,,,
5456.528,68.5,0,,,,
5456.528,64.16,0,,,,
5456.528,63.24,0,,,,
5456.528,61.4,0,,,,
5456.528,61.16,0,,,,
5456.528,61.4,0,,,,
5456.528,61.78,0,,,,
5456.528,61.7,0,,,,
5456.528,60.05,0,,,,
5456.528,60.09,0,,,,
5456.528,59.85,0,,,,
5456.528,59.98,0,,,,
5456.528,59.9,0,,,,
5456.528,60.52,0,,,,
5456.528,61.73,0,,,,
5456.528,63.93,0,,,,
5456.528,62.89,0,,,,
5456.528,61.42,0,,,,
5456.528,61.22,0,,,,
5456.528,61.22,0,,,,
5456.528,63.29,0,,,,
5456.528,63.01,0,,,,
5456.528,62.17,0,,,,
5456.528,62.65,0,,,,
5456.528,62.34,0,,,,
5456.528,63.81,0,,,,
5456.806,65.19,0,,,,
5459.083,71.8,1,,,,
5464.944,72.81,7.2,,,,
5474.667,72.98,13.9,,,,
5488.306,75.05,21.1,,,,
5505.75,74.69,28,,,,
5527.028,78.3,34.8,,,,
5551.194,79.8,41.8,,,,
5577.083,78.95,45.2,,,,
5604.361,75.61,48,,,,
5632.694,75.64,50.2,,,,
5661.944,75.17,51.8,,,,
5691.889,80,53.5,,,,
5721.917,79.05,54.3,,,,
5751.667,80.08,53.8,,,,
5781.472,80.32,53.3,,,,
5811.5,78.78,54,,,,
5841.333,77,54.1,,,,
5871.083,75.4,53.3,,,,
5901.139,75.1,53.8,,,,
5931.361,75.79,54.4,,,,
5961.472,76.25,54.4,,,,
5991.444,77.54,54,,,,
6021.917,77.85,53.9,,,,
6053.917,80.81,55.8,,,,
6087.667,80.63,59.4,,,,
6122.556,82.85,62.1,,,,
6158.222,80.7,63.5,,,,
6194.639,83.42,64.9,,,,
6231.944,83.98,66.2,,,,
6270.667,82.73,68.1,,,,
6311,80.07,71.3,,,,
6352.194,78.96,73.9,,,,
6392.361,77.08,74.4,,,,
6429.694,73.98,70.2,,,,
6463.556,76.43,64.2,,,,
6493.833,76.06,57.7,,,,
6520.694,72.74,51.3,,,,
6544.639,70.97,45.4,,,,
6566.083,73.91,40.8,,,,
6585.167,70.95,36.4,,,,
6601.972,69.47,32.3,,,,
6616.472,66.04,28.2,,,,
6628.778,64.24,24,,,,
6639.139,62.84,20.3,,,,
6648,61.92,17,,,,
6655.444,61.53,14.9,,,,
6661.278,61.36,11.9,,,,
6665.583,61.03,9.1,,,,
6668.389,61.21,6.4,,,,
6669.833,72.57,3.7,,,,
6672.378,71.38,1.5,,,,
6672.378,71.01,0,,,,
6672.378,67.78,0,,,,
6672.378,71.65,0,,,,
6672.378,69.19,0,,,,
6672.378,69.58,0,,,,
6672.378,64.5,0,,,,
6672.378,64.18,0,,,,
6672.378,61.54,0,,,,
6672.378,60.92,0,,,,
6672.378,60.66,0,,,,
6672.378,60.67,0,,,,
6672.378,60.76,0,,,,
6672.378,60.64,0,,,,
6672.378,60.65,0,,,,
6672.378,60.85,0,,,,
6672.378,63.88,0,,,,
6672.378,63.09,0,,,,
6672.378,65.4,0,,,,
6672.85,65.79,0,,,,
6675.6,72.63,1.7,,,,
6682.045,72.81,8.2,,,,
6692.295,72.99,15,,,,
6706.434,74.48,21.9,,,,
6724.461,77.78,29,,,,
6746.35,77.88,35.9,,,,
6772.128,80.24,42.9,,,,
6801.656,82.45,49.9,,,,
6834.572,83.95,56.4,,,,
6870.517,82.96,62.1,,,,
6909.184,85.46,67.3,,,,
6950.35,84.11,71.9,,,,
6993.85,85.56,76.3,,,,
7039.517,86.55,80.3,,,,
7087.211,85.46,84.1,,,,
7136.211,87.04,87.6,,,,
7184.906,86.02,88.8,,,,
7231.795,81.78,86.5,,,,
7276.267,78.37,82.3,,,,
7318.35,78.92,77.8,,,,
7358.184,78.84,73.7,,,,
7395.906,78.47,69.7,,,,
7431.711,77.5,66.1,,,,
7465.545,79.18,62.8,,,,
7497.295,79.6,59,,,,
7527.1,78.53,55.3,,,,
7555.489,79.39,52,,,,
7583.156,75,50.2,,,,
7610.378,74.84,49.4,,,,
7636.656,76.72,48.6,,,,
7661.989,77.52,46,,,,
7686.434,78.47,45.2,,,,
7709.739,78.41,42.8,,,,
7733.045,76.1,41.1,,,,
7756.961,73.17,42.8,,,,
7781.267,71.91,43.3,,,,
7805.739,73.38,44.2,,,,
7829.156,73.45,43.9,,,,
7850.406,71.87,40.4,,,,
7869.045,70.39,36.1,,,,
7884.795,66.31,31,,,,
7897.795,64.38,25.7,,,,
7908.517,63.2,21.1,,,,
7917.6,62.36,17.5,,,,
7925.211,61.85,15.2,,,,
7931.184,60.22,12.2,,,,
7935.6,59.99,9.3,,,,
7938.489,60.41,6.6,,,,
7940.017,71.62,3.8,,,,
7940.489,70.56,1.7,,,,
7940.489,66.51,0,,,,
7940.489,70.36,0,,,,
7940.489,66.82,0,,,,
7940.489,62.03,0,,,,
7940.489,61.59,0,,,,
7940.489,61.02,0,,,,
7940.489,60.83,0,,,,
7940.489,61.21,0,,,,
7940.489,60.19,0,,,,
7940.489,60.16,0,,,,
7940.489,60.61,0,,,,
7940.489,60.47,0,,,,
7940.489,60.18,0,,,,
7940.489,60.18,0,,,,
7940.489,59.95,0,,,,
7940.489,59.96,0,,,,
7940.489,60.1,0,,,,
7940.489,59.93,0,,,,
7940.489,60.07,0,,,,
7940.489,59.86,0,,,,
7940.489,60.03,0,,,,
7940.489,60.12,0,,,,
7940.489,59.9,0,,,,
7940.489,59.92,0,,,,
7940.489,60.02,0,,,,
7940.489,60.02,0,,,,
7940.489,61.51,0,,,,
7940.489,62.14,0,,,,
7940.489,63.32,0,,,,
7940.934,66.07,0,,,,
7943.656,72.72,1.6,,,,
7950.072,74.29,8.2,,,,
7960.267,75.92,14.9,,,,
7974.322,76.9,21.8,,,,
7992.267,76.03,28.8,,,,
8013.267,75.02,35.8,,,,
8036.017,74.58,39.8,,,,
8060.1,77.63,42.1,,,,
8085.322,77.55,44.6,,,,
8111.489,75.79,46.2,,,,
8138.378,76.13,48,,,,
8165.572,77.06,48.8,,,,
8192.906,77.93,49.1,,,,
8220.295,77.23,49.3,,,,
8247.767,75.98,49.3,,,,
8275.434,78,49.6,,,,
8303.35,78.13,50,,,,
8331.461,77.61,50.5,,,,
8359.656,77.36,50.7,,,,
8387.767,74.73,50.8,,,,
8415.489,72.33,50.4,,,,
8441.656,71.64,49.4,,,,
8464.989,74.33,44.8,,,,
8485.184,70.43,39.2,,,,
8502.267,66.77,33.5,,,,
8516.489,64.96,28,,,,
8528.267,63.62,23.2,,,,
8538.156,62.59,19.2,,,,
8546.572,62.39,16.4,,,,
8553.489,61.12,13.9,,,,
8558.85,60.79,11,,,,
8562.684,61.17,8.3,,,,
8565.017,61,5.5,,,,
8566.1,72.95,2.9,,,,
8570.32,72.7,1,,,,
8570.32,71.44,0,,,,
8570.32,65,0,,,,
8570.32,72.2,0,,,,
8570.32,67.25,0,,,,
8570.32,63.08,0,,,,
8570.32,61.83,0,,,,
8570.32,61.11,0,,,,
8570.32,60.99,0,,,,
8570.32,61.5,0,,,,
8570.32,61,0,,,,
8570.32,61.1,0,,,,
8570.32,60.59,0,,,,
8570.32,60.79,0,,,,
8570.32,61.1,0,,,,
8570.32,60.93,0,,,,
8570.32,60.73,0,,,,
8570.32,62.8,0,,,,
8570.32,64.54,0,,,,
8570.32,64.84,0,,,,
8570.681,66.63,0,,,,
8573.153,72.18,1.3,,,,
8579.237,72.77,7.6,,,,
8589.153,73.48,14.3,,,,
8602.931,75.46,21.4,,,,
8620.487,78.62,28.2,,,,
8641.848,79.36,35,,,,
8667.098,84.35,41.9,,,,
8696.292,84.63,49,,,,
8729.153,83.99,56.1,,,,
8765.292,84.54,62.2,,,,
8804.57,84.96,67.9,,,,
8846.459,86.6,73.5,,,,
8890.153,86.73,77.3,,,,
8934.82,84.47,80,,,,
8979.514,84.72,80.8,,,,
